"APPLIC";"NM_ENTRY_MENU";"DS_ENTRY_MENU";"NI_LIVELLO_ENTRY_MENU";"NI_ORD_ENTRY_MENU";"NM_ENTRY_MENU_PADRE";"DL_LINK_ENTRY_MENU"
"SACER";"Menu.Fascicoli.ListaElenchiIndiciAipFascDaFirmare";"Elenchi indici AIP fascicoli da firmare";3;9;"Menu.ElenchiVersamento";"ElenchiVersFascicoli.html?operation=loadListaElenchiIndiciAipFascDaFirmare&amp;cleanhistory=true"
"SACER";"Menu.Fascicoli.ListaElenchiVersFascicoliDaValidare";"Elenchi di versamento fascicolo da validare";3;8;"Menu.ElenchiVersamento";"ElenchiVersFascicoli.html?operation=loadListaElenchiVersFascicoliDaValidare&amp;cleanhistory=true"
"SACER";"Menu.Fascicoli.RicercaElenchiVersFascicoli";"Ricerca elenchi di versamento fascicolo";3;7;"Menu.ElenchiVersamento";"ElenchiVersFascicoli.html?operation=ricercaElenchiVersFascicoli&amp;cleanhistory=true"
"SACER";"Menu.Informazioni";"Informazioni su";2;12;"Menu";""
"SACER";"Menu.Informazioni.InfoPrivacy";"Info privacy";3;2;"Menu.Informazioni";"NoteRilascio.html?operation=infoPrivacyPage&amp;cleanhistory=true"
"SACER";"Menu.Informazioni.NoteRilascioVersCor";"Note sulla versione corrente";3;1;"Menu.Informazioni";"NoteRilascio.html?operation=ricercaNoteRilascioPage&amp;cleanhistory=true"
"SACER";"Menu.Informazioni.UtilizzoMicroservizi";"Utilizzo microservizi";3;3;"Menu.Informazioni";"UtilizzoMicroservizi.html?operation=utilizzoMicroserviziPage&amp;cleanhistory=true"
"SACER";"Menu.Logging";"Logging";2;10;"Menu";""
"SACER";"Menu.Logging.AggiornamentoMetadatiErrati";"Lista aggiornamento metadati errati";3;5;"Menu.Logging";"MonitoraggioAggMeta.html?operation=loadAggiornamentoMetadatiErrati&amp;cleanhistory=true"
"SACER";"Menu.Logging.ListaSessioniFascicoliErrate";"Lista sessioni fascicoli errate";3;4;"Menu.Logging";"ListaSessFascicoliErr.html?operation=loadListaSessFascicoliErr&amp;cleanhistory=true"
"SACER";"Menu.Logging.RicercaEventi";"Ricerca eventi";3;1;"Menu.Logging";"RicercaEventi.html?operation=loadRicercaEventi&amp;cleanhistory=true"
"SACER";"Menu.Logging.SessioniErrate";"Sessioni errate";3;2;"Menu.Logging";"Monitoraggio.html?operation=sessioniErrate&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio";"Monitoraggio";2;5;"Menu";""
"SACER";"Menu.Monitoraggio.DateSchedJobTpi";"Ricerca date schedulazione job TPI";3;10;"Menu.Monitoraggio";"MonitoraggioTpi.html?operation=loadRicercaDateSchedJobTpi&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.EsameContenutoSacer";"Esame contenuto Sacer";3;6;"Menu.Monitoraggio";"Monitoraggio.html?operation=contenutoSacer&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.EsameJobSchedulati";"Esame job schedulati";3;7;"Menu.Monitoraggio";"Monitoraggio.html?operation=jobSchedulati&amp;cleanhistory=true"
"SACER";"Menu.Monitoraggio.EsameOperazioniElenchiVersamento";"Esame operazioni sugli elenchi di versamento";3;12;"Menu.Monitoraggio";"Monitoraggio.html?operation=operazioniElenchiVersamento&amp;cleanhistory=true"
